"key"	"dataValue"	"taxonId"	"origTaxonId"	"prefTaxonName"	"origTaxon"	"origQualifier"
"Ailanthus altissima (Mill.) Swingle"		"2cd4p9h.a86"	"2cd4p9h.a86"	"Ailanthus altissima (Mill.) Swingle"	"Ailanthus altissima"	
"Panicum miliaceum L."		"2cd4p9h.a8c"	"2cd4p9h.a8c"	"Panicum miliaceum L."	"Panicum miliaceum"	
"Aucuba japonica Thunb."		"2cd4p9h.a8v"	"2cd4p9h.a8v"	"Aucuba japonica Thunb."	"Aucuba japonica"	
"Pyracantha coccinea M.Roem."		"2cd4p9h.a8y"	"2cd4p9h.a8y"	"Pyracantha coccinea M.Roem."	"Pyracantha coccinea"	
"Solanum sisymbriifolium Lam."		"2cd4p9h.a8z"	"2cd4p9h.a8z"	"Solanum sisymbriifolium Lam."	"Solanum sisymbriifolium"	
"Arenaria montana L."		"2cd4p9h.aev"	"2cd4p9h.aev"	"Arenaria montana L."	"Arenaria montana"	
"Gypsophila paniculata L."		"2cd4p9h.aex"	"2cd4p9h.aex"	"Gypsophila paniculata L."	"Gypsophila paniculata"	
"Cabomba caroliniana A.Gray"		"2cd4p9h.af5"	"2cd4p9h.af5"	"Cabomba caroliniana A.Gray"	"Cabomba caroliniana"	
"Spiraea chamaedryfolia L."		"2cd4p9h.awa"	"2cd4p9h.awa"	"Spiraea chamaedryfolia L."	"Spiraea chamaedryfolia"	
"Amaryllis belladonna L."		"2cd4p9h.aww"	"2cd4p9h.aww"	"Amaryllis belladonna L."	"Amaryllis belladonna"	
"Ambrosia psilostachya DC."		"2cd4p9h.awm"	"2cd4p9h.awm"	"Ambrosia psilostachya DC."	"Ambrosia psilostachya"	
"Luma apiculata (DC.) Burret"		"2cd4p9h.aws"	"2cd4p9h.aws"	"Luma apiculata (DC.) Burret"	"Luma apiculata"	
"Aristea ecklonii Baker"		"2cd4p9h.ak3"	"2cd4p9h.ak3"	"Aristea ecklonii Baker"	"Aristea ecklonii"	
"Astragalus cicer L."		"2cd4p9h.ak6"	"2cd4p9h.ak6"	"Astragalus cicer L."	"Astragalus cicer"	
"Avena barbata Pott ex Link"		"2cd4p9h.ak9"	"2cd4p9h.ak9"	"Avena barbata Pott ex Link"	"Avena barbata"	
"Cosmos bipinnatus Cav."		"2cd4p9h.akf"	"2cd4p9h.akf"	"Cosmos bipinnatus Cav."	"Cosmos bipinnatus"	
"Cotoneaster insculptus Diels"		"2cd4p9h.akv"	"2cd4p9h.akv"	"Cotoneaster insculptus Diels"	"Cotoneaster insculptus"	
"Crataegus coccinioides Ashe"		"2cd4p9h.akx"	"2cd4p9h.akx"	"Crataegus coccinioides Ashe"	"Crataegus coccinioides"	
"Crataegus submollis Sarg."		"2cd4p9h.aky"	"2cd4p9h.aky"	"Crataegus submollis Sarg."	"Crataegus submollis"	
"Cyclamen coum Mill."		"2cd4p9h.akr"	"2cd4p9h.akr"	"Cyclamen coum Mill."	"Cyclamen coum"	
"Forsythia suspensa x viridissima = F. x intermedia hort. ex Zabel"		"2cd4p9h.axt"	"2cd4p9h.axt"	"Forsythia suspensa x viridissima = F. x intermedia hort. ex Zabel"	"Forsythia suspensa x viridissima = F. x intermedia"	
"Genista monspessulana (L.) L.A.S.Johnson"		"2cd4p9h.am1"	"2cd4p9h.am1"	"Genista monspessulana (L.) L.A.S.Johnson"	"Genista monspessulana"	
"Geranium maderense Yeo"		"2cd4p9h.am4"	"2cd4p9h.am4"	"Geranium maderense Yeo"	"Geranium maderense"	
