id	relatedResourceID	relationshipOfResource
30360	8901	hybrid parent of
30360	8889	hybrid parent of
30361	8902	hybrid parent of
30361	8886	hybrid parent of
30362	8904	hybrid parent of
30362	8886	hybrid parent of
30363	8892	hybrid parent of
30363	8889	hybrid parent of
30364	8915	hybrid parent of
30364	8889	hybrid parent of
30365	8888	hybrid parent of
30365	8886	hybrid parent of
30366	8915	hybrid parent of
30366	8901	hybrid parent of
30367	8918	hybrid parent of
30367	8888	hybrid parent of
30368	8889	hybrid parent of
30368	8886	hybrid parent of
30369	8907	hybrid parent of
30369	8903	hybrid parent of
9792	27639	hybrid parent of
9792	3441	hybrid parent of
30496	30495	hybrid parent of
30496	6587	hybrid parent of
30497	30495	hybrid parent of
30497	6588	hybrid parent of
6591	6583	hybrid parent of
6591	6585	hybrid parent of
30507	2709	hybrid parent of
30507	2711	hybrid parent of
30563	6216	hybrid parent of
30563	6224	hybrid parent of
30568	2731	hybrid parent of
30568	2732	hybrid parent of
30610	8963	hybrid parent of
30610	8964	hybrid parent of
30629	4958	hybrid parent of
30629	4959	hybrid parent of
30747	8311	hybrid parent of
30747	8318	hybrid parent of
8331	8315	hybrid parent of
8331	8309	hybrid parent of
8343	8338	hybrid parent of
8343	8341	hybrid parent of
5836	16329	hybrid parent of
5836	5834	hybrid parent of
30855	4743	hybrid parent of
30855	30854	hybrid parent of
